Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
ViromevOTU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU21,0,0,0,0,0,0,0,0,32.02849838,0,0,0,0,0,0,0,0
ViromevOTU22,0,0,0,0,0,0,0,0,0,0,1217.080635,0,0,0,0,0,0
ViromevOTU23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU28,0,0,0,0,0,0,0,0,0,0,60.67929011,0,0,0,0,0,0
ViromevOTU29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU31,0,0,0,0,153.1882021,0,119.7233692,113.3972185,215.5670554,0,0,0,156.2626679,0,0,0,93.70053987
ViromevOTU32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU51,0,0,0,0,0,0,0,0,0,0,0,0,240.6460137,0,0,0,0
ViromevOTU52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU53,80.83909822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU57,0,0,0,0,316.2236536,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
