Family	MDW	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS	MD	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS	MDS	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS
Ackermannviridae	9.286632214	7.52808177	6.167638801	7.472826316	7.763695299	7.552218537	5.513550568	6.146272153	6.286592415	11.70360792	10.29413042	12.82352962	10.99674945	9.523713037	9.248087244	9.403494555	9.499085943	8.790861633	8.917914096	12.36715962	5.294295633	9.259792572	9.361043133	11.09606574	13.87303439	10.20564125	6.431198833	9.924666768	0	0	7.527854082	2.322104541	1.227673623	0	2.077859712	2.264419165	8.755379005	0.739913629	0	10.54552527	10.22903364	5.682989169	6.27046285	9.550309524	6.196031711	5.567778709	8.439845089	7.246443003	8.606107671	9.192021295	8.552553112	2.123578002	10.10546368	7.393235345	0	0	0	0	0	0	0	2.556562929	1.58769999	0	0	0	3.492886684	5.415139465	5.05078661	4.804068759	5.296924931	4.862456979	0	0	0	0	0.526625858	0	0	0	0.464011543
Autographiviridae	13.35746181	11.71685819	10.85653244	11.09182706	11.19456988	11.22147568	10.82821576	9.879889864	10.35578878	13.73406804	11.79063199	14.19185217	13.79118908	12.90265904	12.57517426	12.77092146	12.98520178	12.09263557	11.79386812	10.70761793	10.59610723	15.32173754	16.42087245	14.83221137	14.05578113	13.65143769	9.624875869	14.22229486	8.065985841	6.906568744	10.5320517	9.74559616	11.27096764	10.13690551	10.36328703	10.65077481	12.2349139	9.154101088	14.93834636	11.9887456	13.98310863	11.07466493	11.02092966	12.7974937	11.60387283	9.344023893	11.22447244	8.660834163	12.99253859	16.53750465	12.17748729	11.36404317	11.42471153	12.62810981	6.043459871	0	0	1.478356858	0.650213139	0	0	0	0	0	0	0	0	8.054191607	7.811449437	8.451615595	9.49983032	9.026785239	0	10.59221376	0	0	0	0	0	8.656609993	7.386830554
Casjensviridae	0	0	0	0.22190188	2.498092974	3.464766877	3.706231435	2.855667386	3.787757124	3.142425531	3.854787665	3.105696975	5.018849295	1.998605142	2.894990981	2.91863354	3.124445026	2.107698531	0	0	5.082396595	0	5.318113955	8.183050321	7.911277494	3.490447244	3.005665962	0	0	0	0	3.907114958	4.292043596	1.63842684	4.838295022	4.917402307	3.729523774	0.276103243	5.47041041	5.773738689	4.204995815	0	0	4.373106585	0	0	0	4.472296453	1.01418189	8.44028877	9.181459593	2.869631789	0.423625113	4.829763331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaseviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.728426976	0	0	0	0	0	0	0	0	7.586203718	6.547060718	0.136973354	0	0	4.61345895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demerecviridae	8.174873982	11.92562092	10.17096144	11.06963019	10.91516485	10.8970209	8.599588832	9.427969796	10.54904259	11.7818926	9.302585811	13.76641198	13.48212468	12.68637652	12.91854508	12.77457782	13.45189512	11.95452226	12.09252596	11.70171516	11.88370721	9.996494338	12.39429869	12.93264863	13.42147444	11.25160477	9.021169272	7.447498254	4.857800011	1.029028176	3.310793156	4.143304622	3.136509069	2.359338601	3.825559091	5.09549607	4.131193197	5.508646125	10.57387903	14.10360914	6.691329724	6.231554696	7.250258881	5.610075649	7.613897241	8.243134757	10.45780577	4.586455645	7.870611773	15.32337203	10.68511685	2.281051424	5.15610756	11.60193691	8.509882419	0	0	1.707023378	4.758202388	1.291184835	8.126494806	7.003704055	7.663357153	0	0	0	0	8.85515878	8.786644865	9.140838945	9.214638003	9.797427802	0	11.08441054	7.221103107	0	1.278841569	0	0	0	4.590087684
Drexlerviridae	2.094660656	5.616792074	6.511469319	7.745441281	8.524260432	8.870393876	8.326085671	8.956402633	8.483008444	6.165524614	10.05996245	10.19596134	10.22816639	7.427304134	7.78161457	7.428295117	7.591364557	6.703918702	1.792187347	8.346570156	8.95443671	8.966386964	10.93186558	12.27577269	12.92717772	10.90623215	8.492930535	8.421163896	7.236497	5.716468252	0	0.411955205	1.873513222	0.244855972	1.267914957	0.653503757	0	9.864803427	1.65685996	7.311010153	1.598903258	0	0	0	0	5.785911416	3.383388736	7.269900486	8.669339167	2.390348532	9.656173118	0.580454046	7.921662868	8.984202221	0	0	0	0	0	0	0	0	0	7.580055547	0	0	0	0	0	0	0	0	0	9.426915096	0	0	0.277059778	0	0	0	0
Duneviridae	0	1.013349122	0.463113923	0.043374768	0	0	0.294560681	0	0.147225909	0	6.445014571	0	0	0	0	0	0	0	1.873649811	2.49679326	4.961948695	0	0	0	1.05318629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hafunaviridae	0	0	0	0	0	0	0.226741286	0.520563078	0.521095006	0	0.598778892	0	0.794506852	0.751294139	0	0	0	0	0	0	0	2.758250354	0	5.529286243	6.191440746	0	0.269305506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182393689	1.508787601	0	2.344585316	0.024499586	0.154982764	0	0.278440805	0	0	0	2.678503937	0	0	0	0	1.177425848	3.931406209	9.795766048	0	0	0	0.818373884	0	0	0
Herelleviridae	9.21075889	10.87921509	10.16718232	11.37731767	12.35942335	12.29108435	10.30724266	10.04920148	10.27730001	11.44925486	10.15543148	14.57141264	12.91111242	10.69740488	10.28484486	10.21898883	10.43103308	9.435489906	9.641573967	10.57145343	9.528094015	12.12387181	11.53028529	11.21973686	12.9262799	12.9962675	9.555861657	0	8.57858689	7.102190949	11.57226864	10.88252694	7.282950224	4.658934795	6.835664726	7.624068806	8.776690396	10.36963688	13.78937761	9.160268246	6.120055999	3.471007628	4.39533915	8.608105963	5.443770461	3.50960047	9.438218054	5.708803351	9.684579697	9.205609708	6.77355384	3.895647758	4.195591692	5.048353833	0.954139179	7.759918055	7.209745405	5.813590679	6.747141436	7.763112209	7.209415992	9.195586481	7.738091024	3.427672861	9.063469798	8.8624371	10.05644886	5.970115927	6.390079161	6.719176701	7.383511293	6.523314645	8.101953117	7.456461408	7.424975918	5.928469362	10.68361777	9.150115959	3.320702527	2.424640527	6.416245399
Kyanoviridae	16.85605305	15.16053073	13.83944302	14.40907271	14.49488831	14.65418308	13.38797372	12.99474955	12.8874006	13.97650907	9.839873376	10.67520316	14.93259305	13.15447263	12.91073184	12.92363728	13.3358545	12.10083493	11.66205886	10.97614507	11.38526332	15.26117936	16.40161347	14.70684934	11.24207853	14.54025571	12.67947404	14.77592157	13.40132537	12.78681199	15.81855536	14.85381097	13.98278654	10.76755579	12.7420714	12.89569622	14.65913596	10.93366247	9.944901585	14.37595448	14.27455431	8.612613922	9.908634403	12.97153154	10.01519969	15.02031457	11.20571487	10.98220254	15.02869021	18.19946563	13.55526163	10.03599485	12.18273717	12.45247161	11.02128133	5.614922911	5.273401448	4.253348582	5.121323374	2.664695355	4.668510428	4.057370655	3.480008781	1.439319452	8.309923421	7.763920083	5.541244675	6.3965425	5.639430703	6.104428141	7.818919119	6.668725548	5.020115978	8.479858744	5.145858247	1.566581176	5.530523202	3.437679946	0.034521174	0	6.741748772
Mesyanzhinovviridae	0	5.660412957	5.363129742	5.339878452	4.591233574	4.678832951	2.211414595	3.194861148	2.47821714	2.977404084	6.530922527	7.445476226	0.73628703	3.330523013	0.944301836	2.69974772	1.33943856	0	1.385815904	0	9.450609569	0	0	7.330711483	9.002716833	4.327781147	3.375937941	0	8.63479473	7.013116022	5.200769456	4.694495225	1.326551653	0	0	0.359263916	0	5.626199108	6.197071131	5.013830723	2.562147006	0	0	2.276076517	0.618969461	2.458122375	9.91343986	5.663903559	8.179540573	7.862434808	4.532162049	3.048907997	2.946201223	5.137405427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
