Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
SedimentvOTU1,0,0,0,0,0,0,0,0,0,0,0,0,461.1211302,327.2604111,457.7450904,563.2246681,796.1786026
SedimentvOTU2,0,0,0,0,0,0,0,0,0,0,0,0,603.7543446,344.7616781,604.3543283,783.222746,1428.180209
SedimentvOTU3,0,0,0,0,0,0,0,0,0,0,0,0,616.9833211,499.8953892,1041.790271,1112.582535,2282.516883
SedimentvOTU4,0,0,0,0,0,0,0,0,0,0,0,0,316.5060412,254.9817264,497.4038171,577.3586864,1835.035393
SedimentvOTU5,0,0,0,0,0,0,0,0,0,0,0,0,131.0199091,619.8123946,1049.579231,1374.219442,991.258678
SedimentvOTU6,0,0,0,0,0,0,0,0,0,0,0,0,350.1890892,310.6588461,404.7588056,530.2026565,633.4519263
SedimentvOTU7,0,29.30943907,124.8381181,55.414437,0,0,66.40180771,101.8475424,0,0,0,0,410.1250849,254.2173848,393.1222858,475.7794251,644.125596
SedimentvOTU8,0,0,0,0,0,0,0,0,0,0,0,0,242.2249741,231.7399516,320.7214008,505.647595,779.1708343
SedimentvOTU9,0,0,0,0,0,0,0,0,0,0,0,0,72.47613955,179.5648383,470.6617227,565.5818301,1749.798663
SedimentvOTU10,0,0,0,0,0,0,0,0,0,0,0,0,282.947394,201.2004442,292.7361936,397.472085,700.8509558
SedimentvOTU11,0,0,0,0,0,0,0,41.30899885,0,0,0,0,595.0103749,333.5265982,505.3537546,781.2269841,1126.445549
SedimentvOTU12,0,0,0,0,0,0,0,0,0,0,0,0,171.3907518,96.77740914,287.5138129,325.5795099,604.1026261
SedimentvOTU13,0,0,0,0,0,0,0,0,0,0,0,0,135.357111,124.4145948,196.6831299,276.0047426,390.0430092
SedimentvOTU14,0,0,50.19510295,51.69893769,0,0,72.88645126,79.84788799,0,0,0,0,204.7826219,122.428498,225.2391546,260.062355,386.0871659
SedimentvOTU15,0,0,0,0,0,0,0,0,0,0,0,0,115.5349408,86.62361058,140.9381065,138.2823793,220.1674306
SedimentvOTU16,0,0,0,0,0,0,0,0,0,0,0,0,254.9971168,195.5788901,233.500531,319.5466821,508.0762219
SedimentvOTU17,0,0,0,0,0,0,0,0,0,0,0,0,133.3135966,113.1780787,181.1243896,248.7710765,390.4852043
SedimentvOTU18,0,0,0,0,0,0,0,0,0,0,0,0,380.3142324,195.6530612,324.4507211,475.8747608,863.8575277
SedimentvOTU19,0,0,0,0,0,0,0,0,0,0,0,0,213.1955411,104.9495799,160.1256686,222.4999188,443.2822288
SedimentvOTU20,0,0,0,0,0,0,0,0,0,0,0,0,180.5488055,150.3724718,203.965388,341.7714061,328.9670009
SedimentvOTU21,0,0,0,0,0,0,0,0,0,0,0,0,288.1058059,208.0630569,386.9445543,462.7745365,953.6755518
SedimentvOTU22,0,0,0,0,0,0,0,0,0,0,0,0,358.7138534,255.9507567,466.8816273,649.3600724,1613.184351
SedimentvOTU23,0,0,0,0,0,0,0,0,0,0,0,0,183.0184927,104.2226921,169.8535503,224.0636256,280.9916714
SedimentvOTU24,0,0,0,0,0,0,0,0,0,0,0,0,156.603383,105.6795244,180.996601,241.4758797,310.9425726
SedimentvOTU25,0,0,0,0,0,0,0,0,0,0,0,0,202.3679042,134.0046765,202.1632238,260.6369993,329.3552959
SedimentvOTU26,0,0,0,0,0,0,0,0,0,0,0,0,565.6846818,348.0880529,419.590828,604.4525016,1092.229478
SedimentvOTU27,0,0,0,0,0,0,0,0,0,0,0,0,223.5115054,204.925277,229.1226466,383.1425133,740.2217933
SedimentvOTU28,0,0,0,0,0,0,0,0,0,0,0,0,140.0486479,99.57963297,191.8446309,163.1431923,463.574405
SedimentvOTU29,0,0,0,0,0,0,0,0,0,0,0,0,96.27415509,97.89340058,142.093352,145.153826,158.0334692
SedimentvOTU30,0,0,0,0,0,0,0,0,0,0,0,0,90.00795552,48.4072897,95.40519655,119.5834071,273.6162774
SedimentvOTU31,0,0,0,0,0,0,0,0,0,0,0,0,175.5676714,83.72355382,158.8632956,188.6537184,289.2851429
