Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
WatervOTU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU6,395.0104,138.2485,135.2778,77.73755,75.22138,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU7,0,0,0,0,0,0,0,0,0,0,0,50.99361,0,0,0,0,0
WatervOTU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU13,0,0,0,0,24.27754,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU26,0,0,45.31426,59.32913,52.1185,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU36,91.21175,0,50.86047,0,78.02908,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU43,0,0,0,0,0,0,0,0,0,0,0,0,364.0364,507.2905,566.2477,398.3262,1106.947
WatervOTU44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU47,283.035,181.5246,175.7622,155.9706,135.8396,146.3333,80.9149,102.5565,320.2537,0,0,0,0,0,0,0,0
WatervOTU48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU60,20.63521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
